iter	MultiClass
0	1.034624591
1	0.9870965736
2	0.9523401314
3	0.9235892534
4	0.9011772615
5	0.8834312791
6	0.8704219258
7	0.8588260267
8	0.8495620644
9	0.8420743455
10	0.8224230919
11	0.8075527296
12	0.796356656
13	0.7859390918
14	0.776549801
15	0.7695903175
16	0.7638318051
17	0.7593261706
18	0.7561835375
19	0.7532026732
20	0.7488807124
21	0.7454270685
22	0.7436010422
23	0.7419843859
24	0.7402511825
25	0.7385743278
26	0.7377029133
27	0.736591005
28	0.7354309481
29	0.7345382885
30	0.7337732459
31	0.7330903692
32	0.732503578
33	0.7318846616
34	0.7313979698
35	0.730942423
36	0.730743463
37	0.7303683513
38	0.7295672544
39	0.7293244728
40	0.7290408455
41	0.7287733748
42	0.7284945458
43	0.7279329762
44	0.727858889
45	0.727699559
46	0.7272907391
47	0.7271685966
48	0.726714637
49	0.7265737541
50	0.7262663618
51	0.72608967
52	0.7259792003
53	0.7257998647
54	0.7256478181
55	0.7254692634
56	0.7251936194
57	0.7249576671
58	0.7248221249
59	0.7245595656
60	0.7241113618
61	0.724061756
62	0.7238210179
63	0.723492222
64	0.7233242631
65	0.723073277
66	0.7230016475
67	0.7225496835
68	0.72213351
69	0.7220573781
70	0.7218460688
71	0.721617254
72	0.7215693361
73	0.7212531848
74	0.7210960333
75	0.7210472646
76	0.7209832159
77	0.7204944306
78	0.7203980999
79	0.7199903836
80	0.719638583
81	0.7196332278
82	0.7195006822
83	0.7194453768
84	0.719275741
85	0.71899512
86	0.7185061355
87	0.7184120503
88	0.7180264939
89	0.7178283943
90	0.7176857029
91	0.7173301536
92	0.7171815443
93	0.7171081614
94	0.7167827903
95	0.7166561586
96	0.7165475343
97	0.7162963738
98	0.7158169328
99	0.7155585235
100	0.7155035736
101	0.7152008789
102	0.7150981755
103	0.7150050268
104	0.7148788669
105	0.714796415
106	0.7146493406
107	0.7143316455
108	0.7142459243
109	0.7141617399
110	0.7138871945
111	0.713660032
112	0.7135668412
113	0.7133524434
114	0.713212965
115	0.7129690032
116	0.712751273
117	0.7125229571
118	0.7124253792
119	0.7121878627
120	0.7119898185
121	0.7118521296
122	0.71170129
123	0.7115207922
124	0.7114787171
125	0.7112593809
126	0.7112169471
127	0.7110774767
128	0.7108493973
129	0.7107591371
130	0.7105158071
131	0.7101389916
132	0.7096230129
133	0.7095269717
134	0.7093699544
135	0.7091876812
136	0.7091302454
137	0.7089010384
138	0.7087450699
139	0.7085920094
140	0.7085343165
141	0.7084182603
142	0.7082390828
143	0.7081491988
144	0.7080345377
145	0.7078445825
146	0.707538492
147	0.7073025212
148	0.7071415137
149	0.7068638471
150	0.7065754371
151	0.7063668197
152	0.7063175726
153	0.7061131815
154	0.7059026639
155	0.7058384985
156	0.7056638129
157	0.7053053692
158	0.7051561595
159	0.7048615202
160	0.7046211329
161	0.7045262435
162	0.7041630889
163	0.7039788217
164	0.7039044302
165	0.7036956897
166	0.7035266491
167	0.7034143292
168	0.7030277144
169	0.702698832
170	0.7024917699
171	0.7024321513
172	0.702211917
173	0.7018689302
174	0.7018242575
175	0.7016844954
176	0.7016181223
177	0.7014667955
178	0.701268059
179	0.7011538258
180	0.7011095942
181	0.7008359126
182	0.7006665654
183	0.7005251837
184	0.7002679876
185	0.699848641
186	0.6996553145
187	0.6991531385
188	0.698972502
189	0.6987767146
190	0.698686672
191	0.6985031979
192	0.6982747744
193	0.6982093586
194	0.6980250521
195	0.6978452765
196	0.6977172377
197	0.697420435
198	0.6972901901
199	0.6971544897
200	0.6969447605
201	0.6968057666
202	0.6964473602
203	0.6964127045
204	0.6962937981
205	0.6961976003
206	0.6959024723
207	0.695741358
208	0.6955752872
209	0.6955002921
210	0.6953063502
211	0.6951943301
212	0.6950726433
213	0.69476662
214	0.6944841558
215	0.6944268914
216	0.6942985394
217	0.6941958525
218	0.694081671
219	0.6939752976
220	0.6938269826
221	0.6934149614
222	0.693347562
223	0.69316642
224	0.6930978635
225	0.6929351498
226	0.6927272747
227	0.6925878285
228	0.6924360484
229	0.6923775348
230	0.6922513266
231	0.6921137922
232	0.6919389304
233	0.6917278801
234	0.6915548
235	0.6913143176
236	0.6911635018
237	0.6909626507
238	0.69069115
239	0.690634185
240	0.6905152815
241	0.6904148481
242	0.6901295831
243	0.6900363473
244	0.6897515401
245	0.6896413021
246	0.6895276343
247	0.6892721016
248	0.6892188074
249	0.6891468637
250	0.6890890396
251	0.6888927872
252	0.6888438122
253	0.6885779208
254	0.6884186834
255	0.6882453772
256	0.6880074796
257	0.6879257912
258	0.6876055636
259	0.6875439794
260	0.6874097017
261	0.687311268
262	0.687206485
263	0.6871438757
264	0.6870303889
265	0.6868994047
266	0.6867799004
267	0.686583181
268	0.6862700605
269	0.6860805543
270	0.6860298905
271	0.6857583878
272	0.6857111987
273	0.685561995
274	0.6852105087
275	0.6848965162
276	0.6846787061
277	0.6842368234
278	0.6840864173
279	0.6838388369
280	0.6835393379
281	0.6834386526
282	0.6833656639
283	0.6831619221
284	0.6830678568
285	0.6830420229
286	0.6829182743
287	0.6827332952
288	0.6825387927
289	0.6823775596
290	0.6822107904
291	0.6820673511
292	0.682044699
293	0.6817766794
